1	CT5	GA3	CT_CpG_5	GA_CpG_3
1	0.0044	0.0048	0.0413	0.0414
2	0.0034	0.0038	0.0215	0.0225
3	0.0036	0.0036	0.0202	0.0198
4	0.0031	0.0032	0.0153	0.0158
5	0.0032	0.0034	0.0135	0.0141
6	0.0028	0.0032	0.0123	0.0129
7	0.0028	0.0028	0.0129	0.0136
8	0.0026	0.0026	0.0131	0.0133
9	0.0025	0.0027	0.0121	0.013
10	0.0022	0.0026	0.0117	0.0115
11	0.0024	0.0024	0.0108	0.0102
12	0.0025	0.0023	0.0105	0.0099
13	0.0024	0.0025	0.0101	0.0096
14	0.0024	0.0023	0.0101	0.0096
15	0.0024	0.0025	0.0104	0.0098
16	0.0025	0.0024	0.0097	0.0111
17	0.002	0.0022	0.0112	0.0102
18	0.0023	0.0022	0.0117	0.0111
19	0.0021	0.0023	0.0111	0.0105
20	0.0023	0.0022	0.0109	0.0099
21	0.0024	0.0022	0.0096	0.0096
22	0.0021	0.0022	0.0104	0.01
23	0.0022	0.0023	0.0092	0.0106
24	0.0022	0.0021	0.0087	0.0101
25	0.0022	0.0022	0.0087	0.0108
26	0.002	0.0022	0.0091	0.01
27	0.0021	0.0021	0.01	0.0089
28	0.0021	0.0022	0.0094	0.0092
29	0.002	0.0021	0.0096	0.0097
30	0.0023	0.0024	0.0089	0.0094
