Length	Count	Algorithm
18	44422	Bowtie2
19	32618	Bowtie2
20	20665	Bowtie2
21	15376	Bowtie2
22	10938	Bowtie2
23	8703	Bowtie2
24	8583	Bowtie2
25	8093	Bowtie2
26	6784	Bowtie2
27	6115	Bowtie2
28	5090	Bowtie2
29	5013	Bowtie2
30	4122	Bowtie2
31	4114	Bowtie2
32	3565	Bowtie2
33	3396	Bowtie2
34	3023	Bowtie2
35	2967	Bowtie2
36	2365	Bowtie2
37	2090	Bowtie2
38	1880	Bowtie2
39	1704	Bowtie2
40	1531	Bowtie2
41	1304	Bowtie2
42	1169	Bowtie2
43	1163	Bowtie2
44	1078	Bowtie2
45	1028	Bowtie2
46	1072	Bowtie2
47	934	Bowtie2
48	646	Bowtie2
49	641	Bowtie2
50	642	Bowtie2
51	456	Bowtie2
52	460	Bowtie2
53	898	Bowtie2
54	386	Bowtie2
55	315	Bowtie2
56	392	Bowtie2
57	314	Bowtie2
58	392	Bowtie2
59	591	Bowtie2
60	542	Bowtie2
61	315	Bowtie2
62	355	Bowtie2
63	201	Bowtie2
64	219	Bowtie2
65	225	Bowtie2
18	58006	Bowtie
19	57237	Bowtie
20	50834	Bowtie
21	48571	Bowtie
22	34253	Bowtie
23	15452	Bowtie
24	11513	Bowtie
25	9646	Bowtie
26	8020	Bowtie
27	7161	Bowtie
28	6006	Bowtie
29	5503	Bowtie
30	4344	Bowtie
31	4411	Bowtie
32	3936	Bowtie
33	3791	Bowtie
34	3293	Bowtie
35	3203	Bowtie
36	2389	Bowtie
37	2103	Bowtie
38	1847	Bowtie
39	1478	Bowtie
40	1327	Bowtie
41	1195	Bowtie
42	1012	Bowtie
43	1015	Bowtie
44	1031	Bowtie
45	967	Bowtie
46	921	Bowtie
47	767	Bowtie
48	528	Bowtie
49	402	Bowtie
50	425	Bowtie
51	299	Bowtie
52	318	Bowtie
53	742	Bowtie
54	260	Bowtie
55	219	Bowtie
56	308	Bowtie
57	245	Bowtie
58	318	Bowtie
59	464	Bowtie
60	439	Bowtie
61	233	Bowtie
62	280	Bowtie
63	125	Bowtie
64	129	Bowtie
65	128	Bowtie
18	59251	BWA
19	61454	BWA
20	54468	BWA
21	51800	BWA
22	91134	BWA
23	51291	BWA
24	35940	BWA
25	21280	BWA
26	13267	BWA
27	9820	BWA
28	7826	BWA
29	7357	BWA
30	5460	BWA
31	5394	BWA
32	4726	BWA
33	4293	BWA
34	3741	BWA
35	3629	BWA
36	2717	BWA
37	2430	BWA
38	2149	BWA
39	1816	BWA
40	1599	BWA
41	1398	BWA
42	1448	BWA
43	1467	BWA
44	1362	BWA
45	1216	BWA
46	1188	BWA
47	1011	BWA
48	695	BWA
49	580	BWA
50	559	BWA
51	413	BWA
52	452	BWA
53	859	BWA
54	367	BWA
55	290	BWA
56	367	BWA
57	301	BWA
58	389	BWA
59	537	BWA
60	511	BWA
61	292	BWA
62	329	BWA
63	173	BWA
64	199	BWA
65	232	BWA
