ID	Count	Type	Length
Mammoth1	313863	Exonic	18
Mammoth1	292116	Exonic	19
Mammoth1	265973	Exonic	20
Mammoth1	236281	Exonic	21
Mammoth1	210127	Exonic	22
Mammoth1	189180	Exonic	23
Mammoth1	170999	Exonic	24
Mammoth1	153082	Exonic	25
Mammoth1	64693	Intronic	18
Mammoth1	40655	Intronic	19
Mammoth1	25103	Intronic	20
Mammoth1	17716	Intronic	21
Mammoth1	13854	Intronic	22
Mammoth1	12058	Intronic	23
Mammoth1	11011	Intronic	24
Mammoth1	10260	Intronic	25
Mammoth1	224125	Intergenic	18
Mammoth1	134181	Intergenic	19
Mammoth1	76415	Intergenic	20
Mammoth1	53757	Intergenic	21
Mammoth1	41410	Intergenic	22
Mammoth1	34854	Intergenic	23
Mammoth1	31990	Intergenic	24
Mammoth1	29703	Intergenic	25
Mammoth4	42465	Exonic	18
Mammoth4	36876	Exonic	19
Mammoth4	31640	Exonic	20
Mammoth4	26392	Exonic	21
Mammoth4	22229	Exonic	22
Mammoth4	19250	Exonic	23
Mammoth4	16861	Exonic	24
Mammoth4	14836	Exonic	25
Mammoth4	3498	Intronic	18
Mammoth4	2425	Intronic	19
Mammoth4	1706	Intronic	20
Mammoth4	1248	Intronic	21
Mammoth4	1019	Intronic	22
Mammoth4	877	Intronic	23
Mammoth4	759	Intronic	24
Mammoth4	652	Intronic	25
Mammoth4	15741	Intergenic	18
Mammoth4	11450	Intergenic	19
Mammoth4	8664	Intergenic	20
Mammoth4	6745	Intergenic	21
Mammoth4	5644	Intergenic	22
Mammoth4	4892	Intergenic	23
Mammoth4	4152	Intergenic	24
Mammoth4	3805	Intergenic	25
Mammoth10	36382	Exonic	18
Mammoth10	20166	Exonic	19
Mammoth10	10951	Exonic	20
Mammoth10	6995	Exonic	21
Mammoth10	5595	Exonic	22
Mammoth10	4371	Exonic	23
Mammoth10	3558	Exonic	24
Mammoth10	2975	Exonic	25
Mammoth10	175804	Intronic	18
Mammoth10	82456	Intronic	19
Mammoth10	30471	Intronic	20
Mammoth10	10779	Intronic	21
Mammoth10	3389	Intronic	22
Mammoth10	1207	Intronic	23
Mammoth10	686	Intronic	24
Mammoth10	550	Intronic	25
Mammoth10	625615	Intergenic	18
Mammoth10	293329	Intergenic	19
Mammoth10	112082	Intergenic	20
Mammoth10	38239	Intergenic	21
Mammoth10	12230	Intergenic	22
Mammoth10	4293	Intergenic	23
Mammoth10	2451	Intergenic	24
Mammoth10	1646	Intergenic	25
