1	CT5	GA3	CT_CpG_5	GA_CpG_3
1	0.0043	0.0043	0.0267	0.0275
2	0.0039	0.0041	0.0217	0.0207
3	0.0029	0.0033	0.0184	0.0198
4	0.0033	0.0034	0.0161	0.0174
5	0.0032	0.0033	0.0158	0.0164
6	0.0031	0.003	0.0148	0.0165
7	0.0029	0.0029	0.0154	0.0157
8	0.0026	0.003	0.0147	0.0154
9	0.0027	0.0026	0.0152	0.0149
10	0.0027	0.0028	0.0157	0.0153
11	0.0026	0.0027	0.014	0.0132
12	0.0026	0.0026	0.0129	0.0134
13	0.0025	0.0025	0.0121	0.013
14	0.0025	0.0028	0.0138	0.0133
15	0.0026	0.0025	0.0124	0.0128
16	0.0026	0.0026	0.0134	0.0134
17	0.0025	0.0026	0.0133	0.0124
18	0.0025	0.0025	0.0136	0.0132
19	0.0024	0.0025	0.0123	0.0148
20	0.0024	0.0025	0.0127	0.0138
21	0.0025	0.0027	0.0127	0.0128
22	0.0025	0.0025	0.0126	0.0129
23	0.0025	0.0026	0.0127	0.0134
24	0.0024	0.0024	0.0126	0.0142
25	0.0024	0.0026	0.012	0.0125
26	0.0024	0.0026	0.0125	0.013
27	0.0026	0.0024	0.0136	0.0135
28	0.0027	0.0025	0.0148	0.014
29	0.0025	0.0026	0.0133	0.0133
30	0.0024	0.0026	0.0144	0.0143
