z	CT5	CA5	CG5	GA5	GT5	GC5	AT5	AC5	AG5	TA5	TC5	TG5
0	0.0162	0.0096	0.0052	0.0062	0.0037	0.0088	0.0021	0.0381	0.0413	0.0079	0.0213	0.0071
1	0.007	0.0147	0.0044	0.004	0.0036	0.0061	0	0.0181	0.0351	0.0107	0.014	0.0088
2	0.0096	0.0105	0.0086	0.0051	0.0033	0.0063	0.013	0.0174	0.0359	0.0088	0.0063	0.0113
3	0.0046	0.0102	0.0036	0.0069	0.0028	0.0037	0.0078	0.0233	0.0337	0.0088	0.0151	0.0079
4	0.0056	0.0111	0.0057	0.004	0.0022	0.0043	0.0047	0.0376	0.0228	0.0112	0.0066	0.01
5	0.0043	0.0121	0.0054	0.0039	0.0022	0.0027	0.0048	0.0143	0.0279	0.0074	0.0099	0.0103
6	0.0056	0.0075	0.0048	0.0038	0.0015	0.0036	0.0042	0.0241	0.0226	0.0106	0.0156	0.0094
7	0.005	0.0104	0.0054	0.0044	0.0018	0.0034	0.0015	0.0352	0.0198	0.0112	0.0187	0.0098
8	0.0047	0.0121	0.0051	0.0051	0.0019	0.0028	0.002	0.0163	0.0242	0.0089	0.0123	0.0075
9	0.0042	0.0119	0.0023	0.0063	0.0022	0.004	0.0021	0.0269	0.0255	0.0083	0.0123	0.0077
10	0.0068	0.0105	0.0022	0.0048	0.0023	0.0032	0.0072	0.0152	0.0188	0.0065	0.0116	0.0059
11	0.0057	0.01	0.0025	0.0041	0.002	0.004	0.0065	0.0184	0.0194	0.0062	0.0113	0.0033
12	0.0051	0.0097	0.0049	0.0058	0.0024	0.0049	0.0131	0.0118	0.0263	0.0065	0.0162	0.0075
13	0.0046	0.0129	0.0045	0.0053	0.002	0.0049	0.0042	0.0275	0.0162	0.0064	0.0139	0.0143
14	0.0063	0.0104	0.0018	0.0056	0.0021	0.0034	0.0017	0.0362	0.019	0.0064	0.013	0.0087
15	0.0052	0.0134	0.0029	0.0052	0.0025	0.0061	0.0046	0.017	0.0165	0.0122	0.0119	0.0122
16	0.0053	0.0135	0.0032	0.0054	0.0025	0.005	0.0022	0.0193	0.0252	0.0075	0.011	0.0116
17	0.0217	0.011	0.0058	0.0048	0.0033	0.007	0.0065	0.0129	0.0155	0.0116	0.0172	0.0166
18	0.0209	0.0107	0.01	0.0065	0.003	0.0079	0.0069	0.0179	0.0271	0.0115	0.0139	0.0154
19	0.0208	0.0087	0.0088	0.016	0.003	0.0104	0.0044	0.0249	0.0293	0.0063	0.0133	0.0233
20	0.0165	0.0115	0.009	0.004	0.0023	0.0071	0.0086	0.0258	0.0183	0.0085	0.0126	0.0128
21	0.0193	0.017	0.0062	0.0098	0.0026	0.0091	0.005	0.02	0.0262	0.0093	0.0108	0.0182
22	0.0176	0.0128	0.008	0.0175	0.007	0.0187	0.0019	0.0169	0.0262	0.0177	0.0172	0.0177
23	0.0146	0.0171	0.0115	0.0095	0.0059	0.0133	0	0.0423	0.0267	0.0144	0.012	0.023
24	0.0124	0.0142	0.007	0.0045	0.0045	0.0246	0.0039	0.0252	0.0097	0.0182	0.0115	0.0285
25	0.0217	0.0136	0.0102	0.0098	0.0031	0.0204	0.0015	0.0394	0.0175	0.016	0.0217	0.0349
26	0.0147	0.0163	0.0102	0.008	0.0039	0.0219	0.0018	0.0617	0.0181	0.0198	0.0144	0.0354
27	0.0182	0.0161	0.0117	0.0057	0.0006	0.0207	0	0.0787	0.0175	0.0143	0.0117	0.0287
28	0.0121	0.0133	0.0051	0.0035	0.0046	0.023	0.0304	0.0552	0.0276	0.016	0.0118	0.0211
29	0.0077	0.0118	0.0061	0.0061	0.0034	0.0216	0.0047	0.0279	0.0047	0.008	0.01	0.0368
30	0.0274	0.0153	0.0082	0.0027	0.0022	0.0258	0	0.0427	0.0244	0.0102	0.0115	0.0281
31	0.0365	0.0168	0.0234	0.0065	0.0095	0.028	0	0.0573	0.042	0.0249	0.0113	0.052
32	0.0197	0.0304	0.0167	0.0126	0.0015	0.023	0.0118	0.0431	0.0196	0.0174	0.0087	0.042
33	0.0365	0.0183	0.0152	0.0059	0.0068	0.0153	0	0.0874	0.0055	0.0079	0.0138	0.0472
34	0.0431	0.0103	0.0109	0.0094	0	0.0111	0.007	0.028	0.042	0.0195	0.0053	0.0443
35	0.0135	0.0106	0.005	0.003	0.002	0.0139	0	0	0.012	0.0141	0.0164	0.0375
36	0.0202	0.0137	0.0081	0.006	0.002	0.0249	0	0	0.1923	0.0166	0.0125	0.0353
37	0.0321	0.0184	0.0144	0.0071	0	0.0085	0.0079	0.0079	0.0157	0.0633	0.0211	0.0934
38	0.0189	0.0066	0.0104	0.0061	0.003	0.0061	0	0.0179	0.0179	0.0227	0.0085	0.0426
39	0.0097	0.0154	0.0097	0.0362	0.0026	0.0181	0.0303	0.0152	0.0909	0.0325	0.005	0.0875
40	0.0439	0.0215	0.0137	0.0075	0.0075	0.015	0	0	0.0333	0.0147	0.0117	0.0557
41	0.0164	0.0139	0.0063	0.007	0.0035	0.0139	0	0	0.0182	0.0215	0.0123	0.0706
42	0.0196	0.0209	0.0084	0	0.0122	0.049	0	0	0.0147	0.0455	0.0105	0.0594
43	0.0387	0.0148	0.0111	0.0039	0.0039	0.0426	0	0	0.0152	0.0212	0	0.089
44	0.0155	0.0213	0.0116	0.0067	0.0033	0.02	0.0345	0	0	0.0566	0	0.0708
45	0.0174	0.0122	0.0105	0.0152	0	0.0305	0	0	0	0.0241	0.006	0.0482
46	0.0025	0.005	0.0075	0.0051	0	0.0102	0.0278	0.0556	0	0.0423	0.0047	0.0751
47	0.0038	0.0075	0.0226	0	0	0.0157	0	0	0	0.0095	0	0.0571
48	0.005	0.0076	0.0403	0	0	0.0189	0	0	0.0556	0.0183	0.0122	0.0427
49	0.0277	0.0055	0.0222	0.0097	0	0.0583	0	0	0	0.0281	0	0.0674
50	0.0269	0.0188	0.0081	0.0278	0	0	0	0.0333	0	0.0301	0.015	0.0752
51	0.0071	0.0036	0.0036	0	0	0	0	0	0	0.0417	0.0083	0.025
52	0.1075	0.0047	0.0047	0	0	0.0377	0	0	0	0.0492	0	0.041
53	0.0291	0.0243	0	0	0	0.1212	0	0.1282	0.0256	0.051	0	0.0408
54	0.0061	0.0123	0	0	0	0.0128	0	0	0	0.0104	0	0.2083
55	0.0049	0.0196	0.0294	0	0	0	0	0	0	0.0323	0.0323	0.0806
56	0.0069	0.0139	0.0069	0	0	0.0526	0	0	0	0.0164	0	0.0656
57	0.0059	0.0118	0	0	0	0	0	0	0	0	0	0.1026
58	0.0071	0.0143	0	0	0	0	0	0	0	0	0	0
59	0	0	0	0.0233	0	0.0233	0	0	0	0.0526	0	0.1053
60	0.0115	0.023	0.0115	0	0.0128	0.1282	0	0	0	0	0	0.3
61	0.1613	0	0.0108	0	0	0.5	0	0	0	0.0357	0	0
62	0	0	0	0	0	0.1765	0.0625	0	0	0	0	0
63	0	0	0	0	0	0	0	0.0233	0	0	0	0
64	0	0	0.02	0	0.0208	0.0417	0	0	0	0	0	0
