genes	variable	value
Mir-1-P1	Yuka_muscle	16.41754776252
Mir-1-P3	Yuka_muscle	16.0927122342349
Mir-133-P1-v1	Yuka_muscle	14.6333167414461
Mir-133-P3-v1	Yuka_muscle	14.3702936892636
Mir-9-P1	Yuka_muscle	11.0489785588971
Mir-9-P2	Yuka_muscle	12.9229523721444
Mir-124-P1-v2	Yuka_muscle	10.4643564815218
Mir-184	Yuka_muscle	13.048467773217
Mir-1-P2	Yuka_muscle	14.9228130370624
Mir-10-P1c-v1	Yuka_muscle	13.4634626988583
Mir-10-P1c-v2	Yuka_muscle	13.2708358669144
Let-7-P2b2	Yuka_muscle	12.633487036834
Let-7-P2c2	Yuka_muscle	10.4643564815218
Mir-92-P1a	Yuka_muscle	12.7854674253887
Let-7-P2a1	Yuka_muscle	11.4638458163755
Let-7-P2b1	Yuka_muscle	11.0489785588971
Let-7-P2a2	Yuka_muscle	11.7856717565391
Mir-10-P3b	Yuka_muscle	13.16393189119
Mir-181-P1a	Yuka_muscle	11.4638458163755
Mir-181-P1b	Yuka_muscle	11.0489785588971
Mir-22-P1b	Yuka_muscle	13.3703618092949
Mir-27-P2	Yuka_muscle	11.7856717565391
Mir-143	Yuka_muscle	11.7856717565391
Mir-10-P2c	Yuka_muscle	12.4635904160021
Mir-10-P3c	Yuka_muscle	11.7856717565391
Mir-10-P3d	Yuka_muscle	12.0486380552049
Let-7-P1d	Yuka_muscle	10.4643564815218
Mir-101-P1-v2	Yuka_muscle	11.0489785588971
Mir-24-P2	Yuka_muscle	11.0489785588971
Mir-10-P2d	Yuka_muscle	14.0483826246856
Mir-1-P1	Human_Muscle	12.5719435150008
Mir-1-P3	Human_Muscle	11.6570946722368
Mir-133-P1-v1	Human_Muscle	14.5502127550556
Mir-133-P3-v1	Human_Muscle	14.5290364692492
Mir-9-P1	Human_Muscle	2.67822620752045
Mir-9-P2	Human_Muscle	3.62798686979619
Mir-124-P1-v2	Human_Muscle	0.378817966068645
Mir-184	Human_Muscle	3.03159991584992
Mir-1-P2	Human_Muscle	10.4917164455896
Mir-10-P1c-v1	Human_Muscle	12.5375608819103
Mir-10-P1c-v2	Human_Muscle	14.3580289740957
Let-7-P2b2	Human_Muscle	12.9351378674241
Let-7-P2c2	Human_Muscle	12.3116865447305
Mir-92-P1a	Human_Muscle	12.8519923141892
Let-7-P2a1	Human_Muscle	10.9830010242644
Let-7-P2b1	Human_Muscle	13.9040563545599
Let-7-P2a2	Human_Muscle	13.7200132295119
Mir-10-P3b	Human_Muscle	12.3988361061591
Mir-181-P1a	Human_Muscle	13.2965413173982
Mir-181-P1b	Human_Muscle	12.7143700742873
Mir-22-P1b	Human_Muscle	19.4658698860552
Mir-27-P2	Human_Muscle	15.9892142133995
Mir-143	Human_Muscle	17.2059097462831
Mir-10-P2c	Human_Muscle	9.92812265681718
Mir-10-P3c	Human_Muscle	11.0427971919491
Mir-10-P3d	Human_Muscle	9.91325185919376
Let-7-P1d	Human_Muscle	14.375880807467
Mir-101-P1-v2	Human_Muscle	11.8293251183507
Mir-24-P2	Human_Muscle	8.42325343367401
Mir-10-P2d	Human_Muscle	9.56452505988401
Mir-1-P1	Human_Heart	12.8997958394737
Mir-1-P3	Human_Heart	12.3803685998882
Mir-133-P1-v1	Human_Heart	13.0773603785237
Mir-133-P3-v1	Human_Heart	12.951075197414
Mir-9-P1	Human_Heart	4.17170462651294
Mir-9-P2	Human_Heart	6.12108876504167
Mir-124-P1-v2	Human_Heart	0
Mir-184	Human_Heart	1.28945346571659
Mir-1-P2	Human_Heart	0
Mir-10-P1c-v1	Human_Heart	13.591482925667
