	DRR041531	DRR041538	DRR041557	DRR041563	DRR041586	SRR10264719	SRR10264720	SRR10264721	SRR10264722	SRR10264489	SRR10264490	SRR10264491	SRR10264492	SRR8858261	SRR8858262	SRR8858263	SRR8858264	SRR8858265	SRR8858266	SRR8858267	SRR8858268	SRR1044425	SRR1044427	SRR1044429	SRR1044431	SRR1044433	SRR1044434	DRR041463	DRR041468	DRR041613	DRR041352	SRR10264389	SRR10264390	SRR10264391	SRR10264392	SRR10264369	SRR10264370	SRR10264371	SRR10264372	SRR10264628	SRR10264629	SRR10264630	SRR10264631	SRR10264129	SRR10264130	SRR10264131	SRR10264132	SRR10264237	SRR10264238	SRR10264239	SRR10264240	SRR10264269	SRR10264270	SRR10264271	SRR10264272	SRR10264980	SRR10264981	SRR10264982	SRR10264983	SRR10263632	SRR10263633	SRR10263634	SRR10263635	SRR10263548	SRR10263549	SRR10263550	SRR10263551	SRR10263656	SRR10263657	SRR10263658	SRR10263659	Elephant_Blood	Sample1_muscle	Sample1i_muscle	Tumat_Cartilage	Tumat_Liver	Tumat_Muscle	Wolf_Skin1	Wolf_Skin2	Thy_Muscle	Thy_Skin
Let-7-P1b	11.583271140009	12.0141980584617	12.6196539634402	11.8397748408369	12.0664183545812	9.80221735544028	9.76123742676278	9.8064328958293	9.67168786507362	12.4835892161366	12.4655457591915	12.5832637026903	12.5148221576445	13.8554894677901	12.7922661405821	13.1462377290899	13.0842005323967	13.7141651675767	13.2180424429075	13.8874735637532	14.3057530076028	9.65232552563481	9.84225726288262	7.79993468599502	8.22478352451166	9.54053891397665	10.5310360005077	11.6582943833919	12.0527359838764	12.1391670306616	11.6618225197895	11.6358057230145	11.6695521132635	11.3769297778875	11.5775008531677	10.1171883558959	10.0274120192202	10.1884546557783	9.82261318749585	11.5027608241373	11.5532391779786	11.433731182288	11.4415103005354	11.037973137136	11.1726325724541	11.0936821520732	11.1534821172841	10.8456047114318	10.7803606496643	10.7011776198848	10.7846038972397	10.693031446284	10.6245866207137	10.7090414757762	10.5369523210683	10.6553189635247	10.6566374571785	10.7170873499621	10.5842185199273	10.8856855864991	10.8722531544125	10.8034537280626	10.9275353076383	10.7362715634848	10.7990430191904	10.7406059861366	10.6502059752704	10.9382877228077	10.8348268498888	10.8680388533708	10.8086953628104	7.1767128667445	0	0	0	0	0	6.08943441674269	0	0	0
Let-7-P1c	12.3003228388371	11.4735216362733	10.0381600205157	12.2531897784472	11.1879744932596	11.9359799087395	11.8623625533287	11.9334972929093	11.909833555224	13.4902772958917	13.452671441054	13.5974287261252	13.5277967179888	14.5451861011024	13.4312274265033	13.7831494953895	13.5651132603263	14.4336403213257	13.1726694126024	14.2485962545998	14.752338233447	9.34319170984765	8.99985737811809	8.27149350102005	8.08421355022364	7.70151734489014	8.46876945405288	9.16800680485361	10.3173214383925	8.90359897937908	8.25108281709254	12.8173968239586	12.8777509559865	12.5209698317887	12.78752226108	13.0338527446903	12.7536215223425	12.9779758079308	12.7560626177031	14.0834327081186	14.1131617441578	13.9631187271345	13.9814339206889	12.7779045292083	12.7722104215254	12.6933508220598	12.7815176907519	9.01819798202102	9.12368561390837	9.04998368995575	8.98050504277177	11.3687198671798	11.414817669748	11.4424177940696	11.2111327164779	10.8881763322624	10.8464781670249	10.895462921035	10.9471191077634	11.0057490354527	11.1094882744705	10.8803871022356	10.9672827259425	10.5926723055744	10.381714353726	10.3943844222015	10.3214265774767	10.8254179493871	10.648471150656	10.8044642606163	10.775923917866	16.0164812957199	0	0	0	0	0	9.24040241032892	9.2324787240484	9.53414875124716	12.3599992658548
Let-7-P1d	6.35911676422781	16.3770743264831	15.961880477896	6.85795420240047	7.21085445350098	12.8785543477254	15.8125289882768	16.0499091301203	12.8333163482067	13.1540643049635	12.3833435062486	5.23708835907929	9.05171795862474	10.1186690858665	10.2497134652768	16.8339275672812	14.3734445238532	10.9541580543784	14.1267843055433	16.992594897248	19.4850941394369	14.948083901251	14.7444789640896	0	11.1319592600169	3.56553966480009	14.7020755468814	7.80830900939365	4.79910842918395	15.0438248852056	15.3186033205473	7.3160799184219	11.3816841958888	15.4030243784221	6.76301046590723	12.4268044440657	15.0790595955926	13.3479853950002	7.01572533154068	16.0712868456789	13.8420999744334	11.8824514925499	9.94200592238833	7.20886315772027	13.4774589877421	12.0053838811966	7.54587989226507	11.8122344772451	11.7897954459743	10.6857568971441	14.3925292420109	10.2027790016007	14.0473108565193	15.8549143670618	10.1999257030378	9.83109558540567	9.76409902715673	9.69402712779742	14.9925041114052	4.77808365757389	12.8921662490415	7.61107785394625	6.94347250794345	6.54894891380218	12.8772761588353	13.0412911574345	12.8396025581426	13.0618807296456	13.3180021518254	4.83612118201228	15.1103574509643	16.5653333028273	10.4820417716071	0	0	0	0	11.0687619817694	9.38424195761421	12.6479036104366	14.0422386290366
Let-7-P2a1	16.4175980790862	13.1993784752937	13.0954275665003	16.9074949451808	13.9966369898509	15.8797379033934	7.71092495485687	7.9155060416684	12.4964640430817	7.46292850272825	9.3409582010162	12.625008337151	16.0650157384899	15.6152150186036	16.4836743436867	18.4928785912443	13.2045188712652	19.0939708641733	16.3272619290777	18.8140827964729	17.3463852068589	13.398014058193	11.1416774331082	14.0688411385587	12.9137223968075	12.7131465940764	13.2434068481807	10.866134347245	15.7519268937839	9.87851830685949	11.8259632541207	11.2978776665345	12.8887386022978	5.72577402473533	11.2649407972174	15.2552932279666	13.1705995684052	7.71367496696585	15.2200769969543	10.4166306632838	16.1274444058131	13.7524038849296	16.0448034859227	15.9114022565975	6.55401247048568	13.3925472199626	15.9200204042433	7.57194683313296	6.61941449817686	14.1288752513514	6.70050256652791	13.6984229730421	15.7625505853837	6.92883395247445	8.36572919627182	13.0054009889097	10.8585556996869	15.4003409715808	9.89403836214539	13.2646422765364	6.84433574385768	14.6513408436845	12.8850781631648	5.5339109366115	15.0447469746354	7.47380177262122	14.9964070056956	15.0595592365817	8.06460179615627	13.3347065944535	12.926667289077	16.617686855059	11.4815373293292	12.0517355690813	0	0	0	11.3165834407903	9.15015763927684	12.4710551684342	14.2635828398759
Let-7-P2a2	13.1976374620198	11.9759006322145	9.52516872684055	13.1059129557919	15.9804764335742	12.5040954465608	13.5843560957442	13.0307060068767	15.8316793814009	15.985830314113	16.0260608451724	16.1537194986286	12.4726658832543	19.2459460795477	18.1015524223724	14.0027245489836	18.6144626067174	11.1931454324214	18.2842703805335	15.304780068684	14.122380720099	8.64040800243938	12.9337658645652	6.58152056164475	13.5179407564354	13.4432042415828	8.03307862752289	15.3088426644314	11.8517605365004	11.1426388633494	5.87875150837616	15.6128848926015	15.4357769409468	7.68895861444176	15.5607819659372	12.2880207913499	6.32732049672277	15.2701724195675	12.1703115503814	14.1095881514903	11.7538427734358	15.9411292009576	13.7747756955854	13.4770426182058	15.916460780816	15.756060388196	13.6036708203889	14.2683813823064	14.2047318313179	10.792794098204	7.08425811831349	15.9643903163646	10.1332445930447	14.2341300560374	16.0873874301733	15.0787811388056	15.3368031393593	7.60619577858608	13.2839873899575	14.6787719472672	14.7668903646871	12.7593343677157	14.7149686243987	15.3492506701295	6.84276626514734	14.975224612005	5.99797187215187	11.2232050224845	14.9735375091578	15.1099679938263	9.41322625217901	16.5491694732911	11.8033645145919	12.466688112483	0	0	0	11.1561853134597	9.64691649884006	12.1954742205747	14.1470750008781
Let-7-P2a3	14.9845261294171	12.343141898948	15.1701858043048	9.78328609592152	15.3545542727736	14.0323433076542	16.5914467321006	16.5743855469032	13.9562254324111	15.9509690176447	15.9221110134902	13.6459964959655	15.945618161694	19.1525801515546	18.8273867917902	17.5286449047209	17.285397559496	15.8502762391155	15.5779085458167	15.7899835007842	16.2939317800825	14.7821471507639	14.4705264503933	13.2904150071757	13.4202677376975	11.6936942042939	15.2148586571772	8.99792891491383	10.3173214383925	15.1772133768172	14.6403483876895	14.7440965763621	9.87741732207032	14.4685804656737	9.57859099696803	12.2323302625479	12.0703891024914	15.8239929713423	13.2322188215586	15.3799538729813	15.6902843413516	10.9417539659236	13.3322668992816	15.9580690908294	11.5354510833887	15.887201551836	15.6961444117619	7.96206228506065	12.1554513209839	9.81974455500668	12.0858039991817	15.4982865075864	15.4250471619371	13.7077081561004	15.6407829358225	10.3432701224084	10.3814338044724	10.35094333471	15.0714625652574	14.5917764965722	14.198227406742	10.1024921954809	14.1365670529822	15.0857190213873	10.6740044521354	15.0409983628581	13.0152805452583	15.1961080660817	15.12105028007	14.9185886234512	15.1574736852839	15.8365528188283	9.48305012733213	10.4674525353375	0	8.0562500135055	0	10.8237738588164	10.4534999800515	14.0766056060153	13.2000976684896
Let-7-P2b1	11.070963647773	15.0344389538505	9.29978750615243	15.0108969151928	10.1895111647084	16.4120310595661	9.54863835217825	13.3450187494083	16.3813023169184	12.8514501200412	12.8754544082207	15.9339975831264	12.9125818553036	17.2616782549466	12.4065674038248	18.988738385651	18.5537393057869	19.5459091201334	19.1371412015001	19.2239713803719	19.9011784864029	12.9935771818565	12.4125422522695	8.83121592521232	10.9461417220521	13.8057455364706	9.09690676365497	15.3369092317979	15.641243810605	11.7162490557309	10.8548015059905	8.46950309020676	14.7882196125543	7.9663907257593	14.6836758733883	15.7045631407733	15.5278126307076	8.87460752128713	15.3021475307236	13.2180608598457	8.42851584727134	15.4903050067604	15.1947878844455	9.73420521252912	15.9315606537935	9.63750509194595	13.6088224950089	12.1761290981016	5.00460477900888	11.6981848038664	3.9869954216934	13.3898390503858	13.1952845818707	15.4123881087502	9.49988178633067	15.0519457365431	15.0664425088184	15.0382752193142	7.4217919108436	8.91421484027692	12.670186878819	14.4299196262742	12.6622113074005	12.8284727158479	15.2774685388226	12.8566806640402	14.9574196769492	9.33943785519947	8.16309826852021	12.9943384212982	9.47169427387644	15.9211758891231	11.0666679970748	12.0517355690813	0	9.0535374503772	0	10.9268124566021	10.190671332114	13.9246117904793	13.3245323697316
Let-7-P2b2	13.4072847585631	13.6048897769718	12.6467352435405	14.0645295372174	13.3327939906284	12.9375268784988	12.9101144053683	13.0373230966178	12.9263690610988	13.392891193308	13.3773187592537	13.4926385828276	13.4153981302761	13.2734589644989	12.439645864788	12.4954997346345	12.3535373770977	13.288732714901	12.1342985877385	13.0870552178677	13.3863102606298	14.4159788258517	14.0942237802293	11.1341112697553	13.4518486971365	12.7070527871978	13.2603996735617	12.0890705824473	12.6763066540998	10.5076604367252	12.9067781950595	13.4042225478355	13.4731295419518	13.1209984595181	13.3766335213121	12.2142875812193	12.1006120774956	12.3822164298877	12.060876278736	14.1018593171367	14.0947548159706	13.9397361692262	13.9888526686032	12.8174702773783	12.7855686706138	12.7340087838827	12.8625130655482	9.65897915253417	9.52044643152197	9.51692632185219	9.58605507703362	13.550746995854	13.4882534040748	13.6285529348914	13.474604995071	12.7924835515619	12.7250269457719	12.7374383979396	12.7049379653645	12.9550388427356	12.9138736708879	12.7922860641942	12.8675097316913	12.3383483565982	12.3690566822386	12.3179661064336	12.2592831785248	12.5664512169697	12.4503157555203	12.5758569172695	12.4983186882442	16.7331678584975	12.6511820088294	13.0515656523238	10.9510273388458	0	0	13.4776075903933	12.7468637571515	11.9476043789408	14.5704947144719
Let-7-P2b3	11.4425242434027	11.3673379490449	11.4219770044114	11.6680482516971	10.89666383337	11.9044639544556	11.8292668136498	12.0175540661224	11.8771759526037	11.6396047685242	11.593765118091	11.7486807705825	11.6445750210125	12.2299720025901	11.6798890864733	11.8970487009878	11.8679375172626	11.9699801665834	12.0957410846608	12.523991076505	12.7750129852761	9.99616108756491	10.2238888448215	9.23861898506648	9.0021872811939	9.06865587527377	11.1775122818841	11.8640215469324	12.5512439014308	12.853463719998	11.7851684379039	12.1803133961944	12.1949836686936	11.8624728681109	12.0994032884382	10.6034768092461	10.5859598242979	10.8005225766034	10.5797122433753	10.4286307954973	10.4649861867347	10.3093049364077	10.2909051428682	12.291288463914	12.2942852217773	12.3063947185376	12.3580605170861	8.65685725025091	8.65219966869436	8.42707779055645	8.49791511996455	11.7112659653469	11.6241296440118	11.6899703406599	11.4088431334973	11.1147884908059	11.022591528152	11.1229814373616	11.0929964995695	11.5985919185237	11.6169352873183	11.4939970352921	11.5615372040344	10.9753531648977	10.8680037707189	10.8691685257291	10.7773222323928	11.9816076343286	11.904446458101	12.0417127886357	11.9008708840697	11.7323627536497	9.48305012733213	0	0	0	0	8.07345591069506	6.6594586548024	0	0
Let-7-P2c1	10.1937692249523	10.2768515887927	9.89940057819217	10.4383850135149	10.5585252185108	12.6732138531552	12.6607476407994	12.7649178940317	12.6886858815148	12.2851432657483	12.2138195261953	12.3290813092008	12.2893680881501	12.1087243055822	11.9929465423505	11.6653261853038	12.0126683915161	12.4247772905964	11.5760434252349	12.2547533352046	12.5231735306259	13.4497126870342	12.6117775316096	12.0424528731243	11.8348158244118	12.2595895858006	13.6454086554084	11.3318225980162	11.3167559724879	11.2542558393254	10.6493366781726	11.4619659209195	11.5104481956039	11.1382911908183	11.4420619743944	11.0480156184078	10.8747944104548	11.0819301721405	10.8819512358334	11.1614780678697	11.2334849322619	11.0082411064729	11.0828749322546	12.2005705973933	12.2404234722751	12.1219147173142	12.2278552330262	7.87060364780729	7.67715515657228	7.64125309026726	7.79996742492351	10.8840990743853	10.8423635413507	11.0219747303472	10.7259492837528	10.9374562846344	10.9019945641498	10.8822944807037	10.8695765386626	10.9711674039102	10.9219276521314	10.9054648877045	11.0180158387383	10.9162539320328	10.8767604298953	10.8055446840129	10.8456429838359	11.1137272515256	11.0196944789796	11.0274743475984	11.0593923469951	16.4300179537432	9.48305012733213	10.4674525353375	0	0	10.014428807869	7.66020256532945	8.52351078865592	11.1178134338015	11.8321889683115
