z	CT5	CA5	CG5	GA5	GT5	GC5	AT5	AC5	AG5	TA5	TC5	TG5
0	0.0295	0.0103	0.0045	0.0235	0.0157	0.0077	0.0021	0.0084	0.0046	0.014	0.0092	0.0018
1	0.0163	0.0098	0.0031	0.0098	0.0143	0.0049	0.0019	0.0035	0.0055	0.007	0.005	0.0011
2	0.023	0.006	0.0045	0.0019	0.0095	0.0018	0.0014	0.0055	0.009	0.0055	0.0035	0.002
3	0.013	0.0064	0.0043	0.0037	0.006	0.0016	0.0018	0.012	0.0149	0.0055	0.0038	0.0013
4	0.015	0.0184	0.0097	0.0049	0.004	0.0017	0.002	0.0046	0.0114	0.0061	0.0051	0.0011
5	0.0294	0.0107	0.0158	0.0072	0.0048	0.0017	0.0013	0.0044	0.0082	0.009	0.0035	0.0038
6	0.034	0.0135	0.0106	0.0065	0.0017	0.0013	0.0011	0.004	0.0051	0.0044	0.0026	0.0042
7	0.0299	0.0134	0.0084	0.0039	0.0014	0.001	0.0011	0.0013	0.006	0.007	0.0019	0.0023
8	0.0415	0.014	0.0051	0.0083	0.0011	0.0009	0.0019	0.0029	0.0043	0.0136	0.0028	0.0017
9	0.0187	0.0047	0.0159	0.0044	0.0024	0.0009	0.0003	0.0022	0.0047	0.0088	0.0055	0.0008
10	0.0148	0.0109	0.0166	0.0141	0.0008	0.001	0.0008	0.0018	0.004	0.0107	0.0045	0.001
11	0.0125	0.0277	0.014	0.0238	0.0011	0.0013	0.001	0.0005	0.0044	0.0021	0.0036	0.0004
12	0.0129	0.0399	0.0126	0.0191	0.001	0.0016	0.0007	0.0009	0.0037	0.0021	0.0031	0.0006
13	0.012	0.0134	0.0125	0.016	0.0005	0.001	0.0007	0.0009	0.0065	0.0134	0.0038	0.0016
14	0.0105	0.006	0.0279	0.0102	0.001	0.0004	0.0008	0.0013	0.0039	0.0023	0.004	0.0005
15	0.005	0.0047	0.0096	0.0126	0.0013	0.0008	0.0007	0.0017	0.007	0.0037	0.0044	0.0006
16	0.0061	0.0082	0.0078	0.0092	0.0009	0.0009	0.0007	0.0012	0.0026	0.0039	0.0053	0.0008
17	0.0177	0.007	0.0115	0.0037	0.0014	0.0013	0.0011	0.0011	0.0045	0.0086	0.0047	0.0024
18	0.0259	0.003	0.0067	0.0025	0.0016	0.001	0.0004	0.0008	0.0032	0.0027	0.0078	0.0019
19	0.0148	0.0051	0.0063	0.0022	0.0017	0.0011	0.0007	0.0014	0.0035	0.002	0.0055	0.0015
20	0.0212	0.0072	0.0015	0.0018	0.001	0.0009	0.0012	0.0016	0.0034	0.0011	0.0053	0.0008
21	0.0172	0.013	0.0024	0.0058	0.0009	0.0013	0.0007	0.0009	0.0027	0.0023	0.0256	0.0003
22	0.0358	0.0037	0.0027	0.0065	0.0022	0.0119	0.0013	0.001	0.0027	0.0035	0.0256	0.0006
23	0.0329	0.0054	0.0043	0.0115	0.0016	0.0192	0.0007	0.0018	0.0027	0.0025	0.0123	0.0017
24	0.0615	0.0053	0.0023	0.0135	0.0019	0.0044	0.0006	0.0016	0.0033	0.0031	0.0326	0.0019
25	0.0383	0.0055	0.0021	0.0119	0.006	0.0025	0.0009	0.0024	0.004	0.0045	0.0377	0.0044
26	0.0342	0.0061	0.0012	0.0131	0.0037	0.0023	0.0006	0.0011	0.0058	0.003	0.1544	0.0017
27	0.0259	0.0072	0.0006	0.0209	0.0014	0.0021	0.0006	0.0007	0.0037	0.0033	0.0415	0.0011
28	0.0229	0.0068	0.0007	0.0157	0.0013	0.0017	0.0009	0.0019	0.0035	0.0027	0.038	0.001
29	0.0341	0.0057	0.0015	0.013	0.002	0.0025	0.0005	0.0019	0.0039	0.0107	0.0692	0.0019
30	0.0212	0.0067	0.0017	0.0113	0.0014	0.0059	0.0013	0.0008	0.0049	0.0169	0.0541	0.0005
31	0.0365	0.008	0.0012	0.0249	0.0025	0.0076	0.0007	0.0012	0.0097	0.0158	0.0393	0.0011
32	0.0311	0.0105	0.0013	0.008	0.0023	0.0104	0.0014	0.0011	0.0281	0.0135	0.0224	0.0015
33	0.0305	0.0048	0.0008	0.0059	0.0013	0.0082	0.0016	0.0017	0.04	0.0093	0.0262	0.0008
34	0.0303	0.0035	0.0016	0.0081	0.0016	0.0058	0.0014	0.0016	0.0133	0.0124	0.0385	0.0002
35	0.0415	0.0117	0.0003	0.0079	0.0024	0.0072	0.0007	0.002	0.0089	0.005	0.0133	0.002
36	0.0393	0.0086	0.0018	0.0105	0.005	0.0058	0.0013	0.0005	0.0034	0.0082	0.0161	0.0015
37	0.0258	0.0047	0.0089	0.016	0.0015	0.0051	0.0005	0.0021	0.0052	0.0036	0.0299	0.0015
38	0.0408	0.0109	0.0068	0.0221	0.0016	0.0028	0.0006	0.0017	0.0078	0.0029	0.0205	0.0007
39	0.039	0.0092	0.0067	0.0131	0.0024	0.0037	0.0006	0.0024	0.0208	0.0071	0.0118	0.0012
40	0.0304	0.0078	0.0085	0.0079	0.0029	0.0043	0.0003	0.0016	0.0121	0.0047	0.0091	0.001
41	0.0482	0.0109	0.0031	0.0152	0.0028	0.0062	0.0009	0.0013	0.007	0.0038	0.0093	0.0021
42	0.035	0.0073	0.0016	0.0054	0.0172	0.0042	0.0003	0.0012	0.005	0.0099	0.0086	0.001
43	0.0244	0.0071	0.0015	0.0134	0.003	0.0045	0.0005	0.0011	0.0147	0.0159	0.0055	0.0022
44	0.0232	0.006	0.0022	0.0046	0.0025	0.0036	0.0002	0.0005	0.0041	0.0112	0.0053	0.002
45	0.0078	0.0074	0.0078	0.0067	0.0022	0.0028	0	0.002	0.0075	0.0015	0.0109	0.0007
46	0.0148	0.0047	0.0136	0.0073	0.0022	0.0022	0.0006	0.0019	0.0025	0.0065	0.0129	0.0024
47	0.0191	0.0038	0.0067	0.0328	0.0022	0.0058	0.0004	0.0019	0.0037	0.0018	0.0065	0.0006
48	0.0027	0.0081	0.0019	0.0235	0.0057	0.0032	0.0007	0.0015	0.0088	0.0028	0.0038	0
49	0.0113	0.015	0.0028	0.0291	0.005	0.0042	0.0006	0.0071	0.0256	0.0022	0.0202	0.0006
50	0.0128	0.0091	0.0004	0.0289	0.0086	0.0064	0.0017	0.0009	0.0128	0.0013	0.0354	0
51	0.0154	0.0081	0.0007	0.0237	0.0071	0	0.0005	0.0065	0.0033	0.0043	0.0271	0.0014
52	0.0066	0.006	0.0018	0.0335	0.0024	0.0084	0.004	0	0.004	0.0275	0.0138	0.0015
53	0.0097	0.011	0.0006	0.0095	0.0095	0.0142	0.0183	0	0.0061	0.0181	0.0111	0
54	0.0186	0.0084	0	0.0148	0.0013	0.0027	0.0255	0.0032	0.0016	0.0054	0.0182	0.0007
55	0.0279	0.0108	0.0015	0.0104	0.0013	0.0052	0.006	0	0.002	0.0143	0.0381	0.0024
56	0.0093	0.0065	0	0.0189	0.0034	0.0103	0.0046	0.0023	0.0046	0.0315	0.0189	0
57	0.0177	0.0147	0.0029	0.02	0.0156	0.0089	0.0021	0.0042	0.0021	0.0112	0.014	0.0028
58	0.0167	0.0042	0	0.016	0.004	0.0048	0.0115	0.0023	0.0023	0.0458	0.0201	0.0057
59	0.029	0.0083	0.0332	0.0573	0	0.0352	0	0.0031	0.0041	0.0063	0.0413	0.0032
