	UMAP1	UMAP2	Tissue	Color	Shape
ERR579130	-22.3931344795739	-22.3127336725182	Skeletal muscle	#DB6443	15
ERR579141	-22.795824284008	-21.0248043285376	Skeletal muscle	#DB6443	15
ERR579142	-20.7558790998646	-21.3886890517028	Skeletal muscle	#DB6443	15
ERR579143	-21.3648024193021	-20.6708862038005	Skeletal muscle	#DB6443	15
ERR579149	-22.4567309679881	-19.8920877016053	Skeletal muscle	#DB6443	15
ERR579152	-20.9048955025468	-19.5079608017973	Skeletal muscle	#DB6443	15
ERR315328	-27.8789889848541	0.842644862492843	Heart	plum	15
ERR315331	-28.8431848467856	-2.60531816067901	Heart	plum	15
ERR315356	-27.8093923668911	-3.52774367734213	Heart	plum	15
ERR315367	-28.0337198803722	-1.66004455069397	Heart	plum	15
ERR315384	-30.1612033171541	-0.610995399976094	Heart	plum	15
ERR315389	-28.7331284739011	0.988629030331548	Heart	plum	15
ERR315413	-30.3037425514568	0.538426052419432	Heart	plum	15
ERR315430	-30.3852708416426	-2.91523682951053	Heart	plum	15
ERR315435	-29.7058336576836	2.11644799036368	Heart	plum	15
ERR315339	-18.8161237714333	19.9831876460454	Skin	#F0C57F	15
ERR315372	-18.6223153711707	21.7940987998555	Skin	#F0C57F	15
ERR315376	-20.7516525523741	20.2964361934623	Skin	#F0C57F	15
ERR315401	-19.7858415351256	21.1208910101323	Skin	#F0C57F	15
ERR315460	-19.6434700135904	22.6138029730126	Skin	#F0C57F	15
ERR315464	-21.0189559609127	22.3092519859939	Skin	#F0C57F	15
ERR315327	7.02915731914304	-6.25291270478534	Liver	goldenrod3	15
ERR315394	6.89415626175569	-4.39355910856863	Liver	goldenrod3	15
ERR315414	8.11012672045513	-5.74086394949837	Liver	goldenrod3	15
ERR315451	6.52912153151846	-5.55707164013006	Liver	goldenrod3	15
ERR315463	8.60567749891626	-4.91409314435268	Liver	goldenrod3	15
ERR315326	7.70146951500776	6.65299468648551	Lung	goldenrod4	15
ERR315341	6.13304459406954	6.44817727765187	Lung	goldenrod4	15
ERR315346	6.18564688746416	4.63013139434936	Lung	goldenrod4	15
ERR315353	7.65698524172954	3.31138713694799	Lung	goldenrod4	15
ERR315424	9.51199208573716	6.96392326812114	Lung	goldenrod4	15
ERR315439	8.82816342354819	5.32938922540028	Lung	goldenrod4	15
ERR315444	9.33608527455515	4.24271140749234	Lung	goldenrod4	15
ERR315487	7.51531499025304	5.27990088994555	Lung	goldenrod4	15
ERR315383	9.66247194223026	17.2473981743831	Kidney	lightblue	15
ERR315443	8.57609317185931	16.7813460693949	Kidney	lightblue	15
ERR315468	10.1416402187922	18.2725022056283	Kidney	lightblue	15
ERR315494	8.61619853937709	18.1585863819818	Kidney	lightblue	15
ERR315432	-9.65580241510678	-14.4967466503849	Brain	lavender	15
