genes	variable	value
C5H4orf54	Yuka_muscle	14.8792940274203
MYH1	Yuka_muscle	14.166205780103
KLHL40	Yuka_muscle	15.1302479578716
MYH6	Yuka_muscle	14.644837221353
ANKRD1	Yuka_muscle	15.3015148820085
XIRP1	Yuka_muscle	16.2633143050934
NRAP	Yuka_muscle	15.7432109100152
CKM	Yuka_muscle	13.790080669041
ACTA1	Yuka_muscle	14.2354647641016
TRIM63	Yuka_muscle	14.4449080222609
TNNT1	Yuka_muscle	14.5930003502087
XIRP2	Yuka_muscle	15.5392010132935
MYO18B	Yuka_muscle	13.879341896328
TNNC1	Yuka_muscle	14.2127458748234
ACTN2	Yuka_muscle	13.879341896328
FLNC	Yuka_muscle	16.2743271583385
DES	Yuka_muscle	14.3229232056386
NEB	Yuka_muscle	18.5741300463435
TTN	Yuka_muscle	19.3021541312965
OBSCN	Yuka_muscle	15.6948487851272
TPM2	Yuka_muscle	14.4252801016491
MYH10	Yuka_muscle	14.8353521603382
PLEC	Yuka_muscle	14.1896634872288
SYNE2	Yuka_muscle	14.1181141520099
MACF1	Yuka_muscle	15.8052707706764
GLUL	Yuka_muscle	13.790080669041
AHNAK	Yuka_muscle	14.6948759839547
MYH9	Yuka_muscle	14.9633555826005
UBC	Yuka_muscle	13.5930587262876
HSP90AB1	Yuka_muscle	13.6617660461384
C5H4orf54	Human_Muscle	0
MYH1	Human_Muscle	19.1727283322222
KLHL40	Human_Muscle	12.3371698176267
MYH6	Human_Muscle	11.6441499036457
ANKRD1	Human_Muscle	9.43930049159087
XIRP1	Human_Muscle	13.295274415231
NRAP	Human_Muscle	17.3883526194771
CKM	Human_Muscle	20.4452319463749
ACTA1	Human_Muscle	20.6781336474706
TRIM63	Human_Muscle	13.1109117522741
TNNT1	Human_Muscle	17.7026376851418
XIRP2	Human_Muscle	16.05431035324
MYO18B	Human_Muscle	13.9476766042941
TNNC1	Human_Muscle	17.1098851774726
ACTN2	Human_Muscle	17.4215023390858
FLNC	Human_Muscle	16.7672758424557
DES	Human_Muscle	18.9023733027092
NEB	Human_Muscle	18.7241339845542
TTN	Human_Muscle	19.5121216679728
OBSCN	Human_Muscle	16.6056588806503
TPM2	Human_Muscle	19.1402561936064
MYH10	Human_Muscle	9.09377522659324
PLEC	Human_Muscle	15.1076383124355
SYNE2	Human_Muscle	13.3581784157714
MACF1	Human_Muscle	12.1818493756047
GLUL	Human_Muscle	14.4825923890626
AHNAK	Human_Muscle	15.2844027795543
MYH9	Human_Muscle	12.6742009735046
UBC	Human_Muscle	14.9467615425307
HSP90AB1	Human_Muscle	15.1111178770993
C5H4orf54	Human_Heart	0
MYH1	Human_Heart	1.56495478108221
KLHL40	Human_Heart	4.35564073325361
MYH6	Human_Heart	15.356807424268
ANKRD1	Human_Heart	17.2322326558973
XIRP1	Human_Heart	13.5409159941717
NRAP	Human_Heart	14.6932093559022
CKM	Human_Heart	15.4445413759149
ACTA1	Human_Heart	13.9696314146556
TRIM63	Human_Heart	11.9211935581844
TNNT1	Human_Heart	10.401568221918
XIRP2	Human_Heart	13.2309041761892
MYO18B	Human_Heart	12.7262017483381
TNNC1	Human_Heart	15.5674264908982
ACTN2	Human_Heart	15.98801062021
FLNC	Human_Heart	14.4575661504512
DES	Human_Heart	17.5781410633014
NEB	Human_Heart	8.46090823805347
TTN	Human_Heart	15.6697280203081
OBSCN	Human_Heart	13.0013894179646
TPM2	Human_Heart	13.3273055748083
MYH10	Human_Heart	11.8449456821034
PLEC	Human_Heart	12.0348657488022
SYNE2	Human_Heart	11.9797122456361
MACF1	Human_Heart	12.838784638546
GLUL	Human_Heart	12.832735543176
AHNAK	Human_Heart	14.468970827408
MYH9	Human_Heart	13.2694798659143
UBC	Human_Heart	14.433239761335
HSP90AB1	Human_Heart	14.4740897906577
C5H4orf54	Human_Testis	0
MYH1	Human_Testis	6.84817815237468
KLHL40	Human_Testis	4.84423114517849
MYH6	Human_Testis	2.40478135708224
ANKRD1	Human_Testis	3.45238202800033
XIRP1	Human_Testis	1.99934620341681
NRAP	Human_Testis	5.67392423406319
CKM	Human_Testis	6.79917296740933
ACTA1	Human_Testis	0.889196246885361
TRIM63	Human_Testis	1.7763666721933
TNNT1	Human_Testis	6.3230736087588
XIRP2	Human_Testis	6.93822435381373
MYO18B	Human_Testis	8.76893649651712
TNNC1	Human_Testis	5.32275229474165
ACTN2	Human_Testis	8.0614044962195
FLNC	Human_Testis	8.35845921731142
DES	Human_Testis	7.82193673847703
NEB	Human_Testis	6.665865370528
TTN	Human_Testis	8.65294124483026
OBSCN	Human_Testis	8.16195984409128
TPM2	Human_Testis	9.90734839337234
MYH10	Human_Testis	9.95887822659575
PLEC	Human_Testis	10.6091740480668
SYNE2	Human_Testis	11.6759661928225
MACF1	Human_Testis	11.9948600556204
GLUL	Human_Testis	13.0307150769242
AHNAK	Human_Testis	12.2522943835693
MYH9	Human_Testis	12.051713252174
UBC	Human_Testis	14.0874494683036
HSP90AB1	Human_Testis	13.1587407709246
C5H4orf54	Human_Cartilage	0
MYH1	Human_Cartilage	1.17432924969579
KLHL40	Human_Cartilage	0
MYH6	Human_Cartilage	0
ANKRD1	Human_Cartilage	3.60711630757551
XIRP1	Human_Cartilage	2.28735891974104
NRAP	Human_Cartilage	1.55594702850978
CKM	Human_Cartilage	0
ACTA1	Human_Cartilage	2.2736802333949
TRIM63	Human_Cartilage	1.9279428243014
TNNT1	Human_Cartilage	1.92992198713239
XIRP2	Human_Cartilage	4.05892358018216
MYO18B	Human_Cartilage	4.47002623654147
TNNC1	Human_Cartilage	3.89326723443006
ACTN2	Human_Cartilage	1.38484602197225
FLNC	Human_Cartilage	9.70292879581247
DES	Human_Cartilage	3.78603340831313
NEB	Human_Cartilage	7.4178839369969
TTN	Human_Cartilage	5.91018087194567
OBSCN	Human_Cartilage	6.33950268931338
TPM2	Human_Cartilage	15.3733741449828
MYH10	Human_Cartilage	11.1632919320682
PLEC	Human_Cartilage	15.2101226643487
SYNE2	Human_Cartilage	10.5720971608582
MACF1	Human_Cartilage	12.8940881587835
GLUL	Human_Cartilage	10.2770088979385
AHNAK	Human_Cartilage	15.9549157809367
MYH9	Human_Cartilage	15.1261524604787
UBC	Human_Cartilage	14.5162574204319
HSP90AB1	Human_Cartilage	14.2800689516325
C5H4orf54	Human_Fat	0
MYH1	Human_Fat	8.22549885311654
KLHL40	Human_Fat	0.403814825100068
MYH6	Human_Fat	0
ANKRD1	Human_Fat	2.14428962383676
XIRP1	Human_Fat	0.403814825100068
NRAP	Human_Fat	0.262396114759112
CKM	Human_Fat	0.66621093985918
ACTA1	Human_Fat	2.99737538835121
TRIM63	Human_Fat	2.035193620134
TNNT1	Human_Fat	2.13329030174298
XIRP2	Human_Fat	0.565826690473786
MYO18B	Human_Fat	4.47407066894255
TNNC1	Human_Fat	2.18596477122899
ACTN2	Human_Fat	4.14606385091206
FLNC	Human_Fat	9.93094026749211
DES	Human_Fat	11.8012813106329
NEB	Human_Fat	4.61225226506492
TTN	Human_Fat	8.13423629324495
OBSCN	Human_Fat	7.60282016914561
TPM2	Human_Fat	11.8178664554973
MYH10	Human_Fat	11.5179817052051
PLEC	Human_Fat	11.7743959104072
SYNE2	Human_Fat	11.4215671530054
MACF1	Human_Fat	12.2515360034347
GLUL	Human_Fat	15.6375670649704
AHNAK	Human_Fat	16.1627840957303
MYH9	Human_Fat	14.2650928240762
UBC	Human_Fat	14.2038419816195
HSP90AB1	Human_Fat	13.747386518196
C5H4orf54	Human_Placenta	0
MYH1	Human_Placenta	0.423592988600257
KLHL40	Human_Placenta	0
MYH6	Human_Placenta	5.56851144754729
ANKRD1	Human_Placenta	6.33953346169531
XIRP1	Human_Placenta	1.02456672706874
NRAP	Human_Placenta	1.16859223838629
CKM	Human_Placenta	2.86423990654627
ACTA1	Human_Placenta	4.1269229728191
TRIM63	Human_Placenta	5.25686600128371
TNNT1	Human_Placenta	6.00764100073807
XIRP2	Human_Placenta	1.62244381582557
MYO18B	Human_Placenta	2.91056806688673
TNNC1	Human_Placenta	5.09875457093934
ACTN2	Human_Placenta	4.97788768799293
FLNC	Human_Placenta	8.27797481065908
DES	Human_Placenta	11.0270100078946
NEB	Human_Placenta	6.06371854874622
TTN	Human_Placenta	8.49642219996721
OBSCN	Human_Placenta	7.81101744107014
TPM2	Human_Placenta	11.07955935567
MYH10	Human_Placenta	12.5505832794005
PLEC	Human_Placenta	11.7964657250078
SYNE2	Human_Placenta	11.5813659909131
MACF1	Human_Placenta	12.453880401705
GLUL	Human_Placenta	13.5248801541788
AHNAK	Human_Placenta	14.514386268735
MYH9	Human_Placenta	14.3258208266761
UBC	Human_Placenta	13.6795288582226
HSP90AB1	Human_Placenta	13.9267908129576
C5H4orf54	Human_Lung	0
MYH1	Human_Lung	2.8271557710574
KLHL40	Human_Lung	0
MYH6	Human_Lung	0
ANKRD1	Human_Lung	9.08580012331139
XIRP1	Human_Lung	0.83223402764912
NRAP	Human_Lung	0.345973008915979
CKM	Human_Lung	0.664915452420823
ACTA1	Human_Lung	0.955118060911581
TRIM63	Human_Lung	2.70503090221604
TNNT1	Human_Lung	5.35649999889027
XIRP2	Human_Lung	1.08170473552447
MYO18B	Human_Lung	1.38554736970653
TNNC1	Human_Lung	9.27182040409261
ACTN2	Human_Lung	7.95072882714881
FLNC	Human_Lung	8.73432255199531
DES	Human_Lung	10.3298594039364
NEB	Human_Lung	5.58241984602498
TTN	Human_Lung	8.52695298062556
OBSCN	Human_Lung	9.44512151710167
TPM2	Human_Lung	10.8209167385331
MYH10	Human_Lung	12.6700628503117
PLEC	Human_Lung	11.9631824320082
SYNE2	Human_Lung	11.1794803393748
MACF1	Human_Lung	13.44558302972
GLUL	Human_Lung	13.4320819965801
AHNAK	Human_Lung	15.0581834455235
MYH9	Human_Lung	14.4841831616708
UBC	Human_Lung	13.9653872057671
HSP90AB1	Human_Lung	13.3321661906261
C5H4orf54	Human_Brain	0
MYH1	Human_Brain	0.515916373183001
KLHL40	Human_Brain	1.94853947240124
MYH6	Human_Brain	2.00192336689034
ANKRD1	Human_Brain	1.47303457496041
XIRP1	Human_Brain	3.53733088937447
NRAP	Human_Brain	5.63538844113241
CKM	Human_Brain	1.89983309840988
ACTA1	Human_Brain	2.90173442058025
TRIM63	Human_Brain	0.8225102307417
TNNT1	Human_Brain	5.36483670972632
XIRP2	Human_Brain	1.37443963861543
MYO18B	Human_Brain	1.79402687736765
TNNC1	Human_Brain	1.09985860769704
ACTN2	Human_Brain	10.3441168022378
FLNC	Human_Brain	8.84981241095102
DES	Human_Brain	5.25158613658105
NEB	Human_Brain	6.42002846803317
TTN	Human_Brain	7.65324859096219
OBSCN	Human_Brain	7.07992318534507
TPM2	Human_Brain	8.88607838717015
MYH10	Human_Brain	11.9545436148488
PLEC	Human_Brain	11.5022578430372
SYNE2	Human_Brain	9.0334083633224
MACF1	Human_Brain	12.561938591226
GLUL	Human_Brain	14.5967742035716
AHNAK	Human_Brain	12.1049571709449
MYH9	Human_Brain	11.8076368128343
UBC	Human_Brain	13.9826675771489
HSP90AB1	Human_Brain	14.365989130812
C5H4orf54	Human_Salivary	0
MYH1	Human_Salivary	0.864754821247397
KLHL40	Human_Salivary	0.56771467915023
MYH6	Human_Salivary	6.75349231349561
ANKRD1	Human_Salivary	4.94640088195607
XIRP1	Human_Salivary	1.5054288513354
NRAP	Human_Salivary	3.78623132148602
CKM	Human_Salivary	3.93592002888643
ACTA1	Human_Salivary	1.68944268862435
TRIM63	Human_Salivary	0.198972500240495
TNNT1	Human_Salivary	0.874782763646103
XIRP2	Human_Salivary	1.29998869786175
MYO18B	Human_Salivary	1.14805435560714
TNNC1	Human_Salivary	3.66460937780606
ACTN2	Human_Salivary	4.70123599092621
FLNC	Human_Salivary	5.94438384666703
DES	Human_Salivary	6.43413382933375
NEB	Human_Salivary	5.81104904213326
TTN	Human_Salivary	8.80308614298652
OBSCN	Human_Salivary	10.3196282938931
TPM2	Human_Salivary	11.0477016230812
MYH10	Human_Salivary	9.60532425806277
PLEC	Human_Salivary	12.3011287303183
SYNE2	Human_Salivary	10.9696914040614
MACF1	Human_Salivary	12.2033091145006
GLUL	Human_Salivary	12.5394087004335
