Length	Mismatch	Algorithm
18	0.04306	Bowtie2
19	0.0377	Bowtie2
20	0.0238	Bowtie2
21	0.02003	Bowtie2
22	0.01911	Bowtie2
23	0.01622	Bowtie2
24	0.01572	Bowtie2
25	0.01542	Bowtie2
26	0.01539	Bowtie2
27	0.01356	Bowtie2
28	0.01422	Bowtie2
29	0.0194	Bowtie2
30	0.01994	Bowtie2
31	0.01768	Bowtie2
32	0.01838	Bowtie2
33	0.01768	Bowtie2
34	0.01865	Bowtie2
35	0.01893	Bowtie2
36	0.02209	Bowtie2
37	0.02361	Bowtie2
38	0.02431	Bowtie2
39	0.02973	Bowtie2
40	0.02996	Bowtie2
41	0.02761	Bowtie2
42	0.02992	Bowtie2
43	0.03101	Bowtie2
44	0.02709	Bowtie2
45	0.02611	Bowtie2
46	0.03338	Bowtie2
47	0.03433	Bowtie2
48	0.02828	Bowtie2
49	0.04158	Bowtie2
50	0.03907	Bowtie2
51	0.03844	Bowtie2
52	0.0342	Bowtie2
53	0.02051	Bowtie2
54	0.03469	Bowtie2
55	0.03296	Bowtie2
56	0.02952	Bowtie2
57	0.02833	Bowtie2
58	0.02696	Bowtie2
59	0.03046	Bowtie2
60	0.02789	Bowtie2
61	0.03346	Bowtie2
62	0.03049	Bowtie2
63	0.03609	Bowtie2
64	0.04131	Bowtie2
65	0.0385	Bowtie2
18	0.06057	Bowtie
19	0.06862	Bowtie
20	0.07026	Bowtie
21	0.07251	Bowtie
22	0.06898	Bowtie
23	0.04902	Bowtie
24	0.03619	Bowtie
25	0.02934	Bowtie
26	0.02805	Bowtie
27	0.02592	Bowtie
28	0.02602	Bowtie
29	0.02656	Bowtie
30	0.02446	Bowtie
31	0.02274	Bowtie
32	0.02414	Bowtie
33	0.02396	Bowtie
34	0.02391	Bowtie
35	0.02323	Bowtie
36	0.02328	Bowtie
37	0.02429	Bowtie
38	0.02402	Bowtie
39	0.02195	Bowtie
40	0.02195	Bowtie
41	0.02276	Bowtie
42	0.0223	Bowtie
43	0.02303	Bowtie
44	0.02301	Bowtie
45	0.02346	Bowtie
46	0.02762	Bowtie
47	0.02633	Bowtie
48	0.02044	Bowtie
49	0.01736	Bowtie
50	0.01704	Bowtie
51	0.01764	Bowtie
52	0.01524	Bowtie
53	0.01434	Bowtie
54	0.0183	Bowtie
55	0.01826	Bowtie
56	0.01867	Bowtie
57	0.01984	Bowtie
58	0.01903	Bowtie
59	0.02057	Bowtie
60	0.01963	Bowtie
61	0.01998	Bowtie
62	0.01999	Bowtie
63	0.01879	Bowtie
64	0.02059	Bowtie
65	0.01851	Bowtie
18	0.06053	BWA
19	0.06992	BWA
20	0.07155	BWA
21	0.07336	BWA
22	0.11037	BWA
23	0.10552	BWA
24	0.09604	BWA
25	0.07779	BWA
26	0.06169	BWA
27	0.04843	BWA
28	0.04427	BWA
29	0.04486	BWA
30	0.03884	BWA
31	0.03537	BWA
32	0.03536	BWA
33	0.03109	BWA
34	0.03069	BWA
35	0.02998	BWA
36	0.03002	BWA
37	0.03151	BWA
38	0.03142	BWA
39	0.03175	BWA
40	0.03071	BWA
41	0.0294	BWA
42	0.04015	BWA
43	0.04058	BWA
44	0.03681	BWA
45	0.03395	BWA
46	0.03815	BWA
47	0.03761	BWA
48	0.03282	BWA
49	0.03343	BWA
50	0.03023	BWA
51	0.031	BWA
52	0.02987	BWA
53	0.01836	BWA
54	0.03139	BWA
55	0.02828	BWA
56	0.02486	BWA
57	0.02693	BWA
58	0.02588	BWA
59	0.02531	BWA
60	0.02374	BWA
61	0.02656	BWA
62	0.02515	BWA
63	0.02863	BWA
64	0.03329	BWA
65	0.03826	BWA
