ID	Type	Reads	TaxReads	Kmers
Mammoth1	aDNA	423114	12380	588700
Mammoth1	aRNA	48329	5123	26791
Mammoth2	aDNA	433	15	6122
Mammoth2	aRNA	0	0	0
Mammoth3	aDNA	8910	21	16808
Mammoth3	aRNA	0	0	0
Mammoth4	aDNA	338650	1000	78792
Mammoth4	aRNA	95082	5337	1864
Mammoth5	aDNA	17869	116	27713
Mammoth5	aRNA	0	0	0
Mammoth6	aDNA	3768	258	39003
Mammoth6	aRNA	11	0	18
Mammoth7	aDNA	689	36	6789
Mammoth7	aRNA	105	3	258
Mammoth8	aDNA	4	0	54
Mammoth8	aRNA	1	0	10
Mammoth9	aDNA	1	0	25
Mammoth9	aRNA	2030	1	13
Mammoth10	aDNA	313030	23558	1005923
Mammoth10	aRNA	163	8	443
