	UMAP1	UMAP2	Tissue	Color	Shape
SRR10264719	-23.5505660340118	-13.1723703423445	﻿Skeletal muscle	#DB6443	15
SRR10264720	-25.4007467422745	-12.6200568032079	﻿Skeletal muscle	#DB6443	15
SRR10264721	-25.7126533271437	-14.2183850369707	﻿Skeletal muscle	#DB6443	15
SRR10264722	-24.1287349688076	-14.3113177990741	﻿Skeletal muscle	#DB6443	15
SRR10264489	-24.8352043301989	-8.72651309143309	Heart	plum	15
SRR10264490	-26.0893848055157	-7.84475421351011	Heart	plum	15
SRR10264491	-23.6026904060119	-8.30554215558744	Heart	plum	15
SRR10264492	-27.1291815929692	-9.06133206757212	Heart	plum	15
SRR8858261	-1.05307724959307	28.6426533117438	Skin	#F0C57F	15
SRR8858262	-2.62585304267376	29.3804570663701	Skin	#F0C57F	15
SRR8858263	0.154109920998999	27.9574557393008	Skin	#F0C57F	15
SRR8858264	-0.7281042911578	26.1141551591698	Skin	#F0C57F	15
SRR8858265	-0.535264490026335	30.6908086402755	Skin	#F0C57F	15
SRR8858266	-2.34340602465137	27.282743165297	Skin	#F0C57F	15
SRR8858267	1.66425880075684	28.6488212850984	Skin	#F0C57F	15
SRR8858268	1.82840773204714	30.4748025732442	Skin	#F0C57F	15
SRR10264369	12.7160554903052	-15.8806326071235	Liver	goldenrod3	15
SRR10264370	14.8347719124496	-14.5080151295782	Liver	goldenrod3	15
SRR10264371	14.2493353895822	-17.214831772355	Liver	goldenrod3	15
SRR10264372	15.4134280891442	-16.0209686540858	Liver	goldenrod3	15
DRR041463	1.99479984022163	18.8549922130531	Lung	goldenrod4	15
DRR041468	0.463616268375595	17.1782751778999	Lung	goldenrod4	15
DRR041613	3.06644127326896	16.8895383546004	Lung	goldenrod4	15
DRR041352	0.23649200134927	19.4075029945783	Lung	goldenrod4	15
SRR10264389	11.7826330874882	-0.772949583301325	Brain	lavender	15
SRR10264390	12.7764086831646	0.180687037626049	Brain	lavender	15
SRR10264391	12.2694942155483	1.64769315129575	Brain	lavender	15
SRR10264392	10.784819216395	0.371720900672321	Brain	lavender	15
SRR10264628	7.9993359982552	-11.6488277621398	Ovary	lavenderblush3	15
SRR10264629	8.12090464587962	-9.96226483550542	Ovary	lavenderblush3	15
SRR10264630	10.1292106276632	-11.3381263507439	Ovary	lavenderblush3	15
SRR10264631	9.14095375213537	-9.96199214200795	Ovary	lavenderblush3	15
SRR10264237	-8.92950981636604	-22.0389754000332	Placenta	rosybrown2	15
SRR10264238	-11.7697347451741	-21.9800770042571	Placenta	rosybrown2	15
SRR10264239	-10.1883950371238	-20.9973068903341	Placenta	rosybrown2	15
SRR10264240	-10.4752482376729	-22.7240992404258	Placenta	rosybrown2	15
DRR041531	15.762994184913	14.7360378974556	Cartilage	lightskyblue3	15
DRR041538	12.9009152535885	16.3000524509678	Cartilage	lightskyblue3	15
DRR041557	14.7152507557956	17.124597074006	Cartilage	lightskyblue3	15
DRR041563	14.0304757534954	14.9132721089132	Cartilage	lightskyblue3	15
