"Length"	"ID"	"Type"
24	"Mammoth 1"	"Protein-coding mRNAs"
51	"Mammoth 1"	"Protein-coding mRNAs"
51	"Mammoth 1"	"Protein-coding mRNAs"
22	"Mammoth 1"	"Protein-coding mRNAs"
20	"Mammoth 1"	"Protein-coding mRNAs"
18	"Mammoth 1"	"Protein-coding mRNAs"
22	"Mammoth 1"	"Protein-coding mRNAs"
21	"Mammoth 1"	"Protein-coding mRNAs"
34	"Mammoth 1"	"Protein-coding mRNAs"
33	"Mammoth 1"	"Protein-coding mRNAs"
18	"Mammoth 1"	"Protein-coding mRNAs"
18	"Mammoth 1"	"Protein-coding mRNAs"
30	"Mammoth 1"	"Protein-coding mRNAs"
21	"Mammoth 1"	"Protein-coding mRNAs"
19	"Mammoth 1"	"Protein-coding mRNAs"
28	"Mammoth 1"	"Protein-coding mRNAs"
40	"Mammoth 1"	"Protein-coding mRNAs"
38	"Mammoth 1"	"Protein-coding mRNAs"
23	"Mammoth 1"	"Protein-coding mRNAs"
34	"Mammoth 1"	"Protein-coding mRNAs"
37	"Mammoth 1"	"Protein-coding mRNAs"
26	"Mammoth 1"	"Protein-coding mRNAs"
24	"Mammoth 1"	"Protein-coding mRNAs"
29	"Mammoth 1"	"Protein-coding mRNAs"
19	"Mammoth 1"	"Protein-coding mRNAs"
19	"Mammoth 1"	"Protein-coding mRNAs"
20	"Mammoth 1"	"Protein-coding mRNAs"
20	"Mammoth 1"	"Protein-coding mRNAs"
18	"Mammoth 1"	"Protein-coding mRNAs"
45	"Mammoth 1"	"Protein-coding mRNAs"
42	"Mammoth 1"	"Protein-coding mRNAs"
45	"Mammoth 1"	"Protein-coding mRNAs"
18	"Mammoth 1"	"Protein-coding mRNAs"
43	"Mammoth 1"	"Protein-coding mRNAs"
27	"Mammoth 1"	"Protein-coding mRNAs"
48	"Mammoth 1"	"Protein-coding mRNAs"
28	"Mammoth 1"	"Protein-coding mRNAs"
27	"Mammoth 1"	"Protein-coding mRNAs"
18	"Mammoth 1"	"Protein-coding mRNAs"
40	"Mammoth 1"	"Protein-coding mRNAs"
39	"Mammoth 1"	"Protein-coding mRNAs"
36	"Mammoth 1"	"Protein-coding mRNAs"
36	"Mammoth 1"	"Protein-coding mRNAs"
29	"Mammoth 1"	"Protein-coding mRNAs"
29	"Mammoth 1"	"Protein-coding mRNAs"
18	"Mammoth 1"	"Protein-coding mRNAs"
26	"Mammoth 1"	"Protein-coding mRNAs"
24	"Mammoth 1"	"Protein-coding mRNAs"
